Plot Title: Sileza camp,,,,,,
#,Date Time,Rainfall (mm)  #20102559,Coupler Detached,Coupler Attached,Host Connected,End Of File
377,21/10/02 16:24:54.0,89.916,,,,
378,21/10/02 16:25:20.0,90.17,,,,
379,21/10/02 16:25:40.0,90.424,,,,
380,21/10/02 16:25:56.0,90.678,,,,
381,21/10/02 16:26:12.0,90.932,,,,
382,21/10/02 16:26:23.0,91.186,,,,
383,21/10/02 16:26:33.0,91.44,,,,
384,21/10/02 16:26:40.0,91.694,,,,
385,21/10/02 16:26:47.0,91.948,,,,
386,21/10/02 16:26:53.0,92.202,,,,
387,21/10/02 16:27:00.0,92.456,,,,
388,21/10/02 16:27:08.0,92.71,,,,
389,21/10/02 16:27:15.0,92.964,,,,
390,21/10/02 16:27:23.0,93.218,,,,
391,21/10/02 16:27:32.0,93.472,,,,
392,21/10/02 16:27:40.0,93.726,,,,
393,21/10/02 16:27:51.0,93.98,,,,
394,21/10/02 16:27:59.0,94.234,,,,
395,21/10/02 16:28:05.0,94.488,,,,
396,21/10/02 16:28:12.0,94.742,,,,
397,21/10/02 16:28:20.0,94.996,,,,
398,21/10/02 16:28:28.0,95.25,,,,
399,21/10/02 16:28:36.0,95.504,,,,
400,21/10/02 16:28:42.0,95.758,,,,
401,21/10/02 16:28:49.0,96.012,,,,
402,21/10/02 16:28:56.0,96.266,,,,
403,21/10/02 16:29:05.0,96.52,,,,
404,21/10/02 16:29:14.0,96.774,,,,
405,21/10/02 16:29:22.0,97.028,,,,
406,21/10/02 16:29:31.0,97.282,,,,
407,21/10/02 16:29:40.0,97.536,,,,
408,21/10/02 16:29:48.0,97.79,,,,
409,21/10/02 16:29:58.0,98.044,,,,
410,21/10/02 16:30:07.0,98.298,,,,
411,21/10/02 16:30:15.0,98.552,,,,
412,21/10/02 16:30:23.0,98.806,,,,
413,21/10/02 16:30:35.0,99.06,,,,
414,21/10/02 16:30:49.0,99.314,,,,
415,21/10/02 16:31:01.0,99.568,,,,
416,21/10/02 16:31:16.0,99.822,,,,
417,21/10/02 16:31:32.0,100.076,,,,
418,21/10/02 16:31:51.0,100.33,,,,
419,21/10/02 16:32:09.0,100.584,,,,
420,21/10/02 16:32:30.0,100.838,,,,
421,21/10/02 16:32:51.0,101.092,,,,
