"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
340,21/03/28 06:42:20 PM,84.836,,,,,,,,
341,21/04/03 03:02:20 PM,85.090,,,,,,,,
342,21/04/14 03:24:28 PM,,,Logged,,,,,,
343,21/04/14 03:24:41 PM,,,,Logged,,,,,
344,21/04/14 03:25:18 PM,,Logged,,,,,,,
345,21/04/14 03:25:33 PM,85.344,,,,,,,,
346,21/04/15 09:09:59 AM,,,,,,,Logged,,
347,21/04/15 09:10:19 AM,,,,,,,,Logged,
348,21/04/15 09:15:50 AM,,,,,,Logged,,,
349,21/04/16 06:35:50 AM,85.598,,,,,,,,
350,21/04/16 08:48:08 AM,85.852,,,,,,,,
351,21/04/16 03:47:32 PM,86.106,,,,,,,,
352,21/04/16 08:58:18 PM,86.360,,,,,,,,
353,21/04/16 10:25:15 PM,86.614,,,,,,,,
354,21/04/16 10:31:18 PM,86.868,,,,,,,,
355,21/04/17 12:18:23 AM,87.122,,,,,,,,
356,21/04/17 01:37:28 AM,87.376,,,,,,,,
357,21/04/17 02:45:29 AM,87.630,,,,,,,,
358,21/04/17 03:21:23 AM,87.884,,,,,,,,
359,21/04/17 03:22:29 AM,88.138,,,,,,,,
360,21/04/17 03:24:51 AM,88.392,,,,,,,,
361,21/04/17 03:29:44 AM,88.646,,,,,,,,
362,21/04/17 03:31:03 AM,88.900,,,,,,,,
363,21/04/17 03:31:19 AM,89.154,,,,,,,,
364,21/04/17 03:31:36 AM,89.408,,,,,,,,
365,21/04/17 03:32:02 AM,89.662,,,,,,,,
366,21/04/17 03:32:18 AM,89.916,,,,,,,,
367,21/04/17 04:03:40 AM,90.170,,,,,,,,
368,21/04/17 07:39:50 AM,90.424,,,,,,,,
369,21/04/17 07:41:51 AM,90.678,,,,,,,,
370,21/04/20 04:03:39 AM,90.932,,,,,,,,
371,21/04/20 04:04:17 AM,91.186,,,,,,,,
372,21/04/20 04:04:48 AM,91.440,,,,,,,,
373,21/04/20 04:05:13 AM,91.694,,,,,,,,
374,21/04/20 04:05:35 AM,91.948,,,,,,,,
375,21/04/20 04:05:48 AM,92.202,,,,,,,,
376,21/04/20 04:06:03 AM,92.456,,,,,,,,
377,21/04/20 04:06:20 AM,92.710,,,,,,,,
378,21/04/20 04:06:43 AM,92.964,,,,,,,,
379,21/04/20 04:07:10 AM,93.218,,,,,,,,
380,21/04/20 04:07:45 AM,93.472,,,,,,,,
381,21/04/20 04:08:41 AM,93.726,,,,,,,,
382,21/04/20 04:10:13 AM,93.980,,,,,,,,
383,21/04/20 04:10:47 AM,94.234,,,,,,,,
384,21/04/20 04:11:21 AM,94.488,,,,,,,,
385,21/04/20 04:11:59 AM,94.742,,,,,,,,
386,21/04/20 04:14:02 AM,94.996,,,,,,,,
387,21/04/20 04:14:54 AM,95.250,,,,,,,,
388,21/04/20 04:15:16 AM,95.504,,,,,,,,
389,21/04/20 04:15:35 AM,95.758,,,,,,,,
390,21/04/20 04:15:57 AM,96.012,,,,,,,,
391,21/04/20 04:16:24 AM,96.266,,,,,,,,
392,21/04/20 04:16:55 AM,96.520,,,,,,,,
393,21/04/20 04:18:20 AM,96.774,,,,,,,,
394,21/04/20 04:20:17 AM,97.028,,,,,,,,
395,21/04/20 04:21:18 AM,97.282,,,,,,,,
396,21/04/20 04:21:48 AM,97.536,,,,,,,,
397,21/04/20 04:22:14 AM,97.790,,,,,,,,
398,21/04/20 04:25:04 AM,98.044,,,,,,,,
399,21/04/20 04:25:25 AM,98.298,,,,,,,,
400,21/04/20 04:26:37 AM,98.552,,,,,,,,
401,21/04/20 04:29:16 AM,98.806,,,,,,,,
402,21/04/20 04:30:02 AM,99.060,,,,,,,,
403,21/04/20 04:30:25 AM,99.314,,,,,,,,
404,21/04/20 04:30:42 AM,99.568,,,,,,,,
405,21/04/20 04:31:02 AM,99.822,,,,,,,,
406,21/04/20 04:31:19 AM,100.076,,,,,,,,
407,21/04/20 04:32:33 AM,100.330,,,,,,,,
408,21/04/20 04:33:30 AM,100.584,,,,,,,,
409,21/04/20 04:33:40 AM,100.838,,,,,,,,
410,21/04/20 04:33:51 AM,101.092,,,,,,,,
411,21/04/20 04:34:04 AM,101.346,,,,,,,,
412,21/04/20 04:34:17 AM,101.600,,,,,,,,
413,21/04/20 04:34:32 AM,101.854,,,,,,,,
414,21/04/20 04:34:48 AM,102.108,,,,,,,,
415,21/04/20 04:35:03 AM,102.362,,,,,,,,
416,21/04/20 04:35:38 AM,102.616,,,,,,,,
417,21/04/20 04:36:09 AM,102.870,,,,,,,,
418,21/04/20 04:36:39 AM,103.124,,,,,,,,
419,21/04/20 04:37:07 AM,103.378,,,,,,,,
420,21/04/20 04:37:36 AM,103.632,,,,,,,,
421,21/04/20 04:38:47 AM,103.886,,,,,,,,
422,21/04/20 04:40:15 AM,104.140,,,,,,,,
423,21/04/20 04:42:08 AM,104.394,,,,,,,,
424,21/04/20 04:46:07 AM,104.648,,,,,,,,
425,21/04/20 04:48:41 AM,104.902,,,,,,,,
426,21/04/20 04:49:21 AM,105.156,,,,,,,,
427,21/04/20 04:49:31 AM,105.410,,,,,,,,
428,21/04/20 04:49:40 AM,105.664,,,,,,,,
429,21/04/20 04:49:50 AM,105.918,,,,,,,,
430,21/04/20 04:50:09 AM,106.172,,,,,,,,
431,21/04/20 04:50:27 AM,106.426,,,,,,,,
432,21/04/20 04:50:47 AM,106.680,,,,,,,,
433,21/04/20 04:51:06 AM,106.934,,,,,,,,
434,21/04/20 04:51:34 AM,107.188,,,,,,,,
435,21/04/20 04:51:53 AM,107.442,,,,,,,,
436,21/04/20 04:52:15 AM,107.696,,,,,,,,
437,21/04/20 04:52:43 AM,107.950,,,,,,,,
438,21/04/20 04:52:58 AM,108.204,,,,,,,,
439,21/04/20 04:53:14 AM,108.458,,,,,,,,
440,21/04/20 04:53:34 AM,108.712,,,,,,,,
441,21/04/20 04:53:57 AM,108.966,,,,,,,,
442,21/04/20 04:54:27 AM,109.220,,,,,,,,
443,21/04/20 04:54:48 AM,109.474,,,,,,,,
444,21/04/20 04:55:13 AM,109.728,,,,,,,,
445,21/04/20 04:55:33 AM,109.982,,,,,,,,
446,21/04/20 04:55:47 AM,110.236,,,,,,,,
447,21/04/20 04:55:58 AM,110.490,,,,,,,,
448,21/04/20 04:56:10 AM,110.744,,,,,,,,
449,21/04/20 04:56:24 AM,110.998,,,,,,,,
450,21/04/20 04:56:36 AM,111.252,,,,,,,,
451,21/04/20 04:56:51 AM,111.506,,,,,,,,
