# Citation link: https://doi.org/10.15493/OBS.MONITOR.39744624?referrer=observationmonitor.saeon.ac.za
# Data for daily on Ezibomvini AWS
Timestamp,humid_rel_max,humid_rel_min,rad_short_in_avg,rad_short_in_max,rad_short_in_tot,rain_tot,temp_air_avg,temp_air_max,temp_air_min,temp_dew_point_avg,temp_dew_point_max,temp_dew_point_min,wind_dir_avg,wind_speed_avg,wind_speed_max,wind_speed_min,Latitude,Longitude
,pcnt,pcnt,w_per_m2,w_per_m2,mj_per_m2,mm,deg_c,deg_c,deg_c,deg_c,deg_c,deg_c,deg,m_per_sec,m_per_sec,m_per_sec,,
2023-07-15T00:00:00,94.5,23.56,170.2748,669.9882,14.71157,0,10.27,19,2.806,1.642,5.9,-2.741,92.7,0.947,5.93,0,-28.864360,29.395070
2023-07-16T00:00:00,81.2,38.93,47.62109,573.9637,4.114129,0,8.48,15.45,0.926,0.463,3.531,-2.187,170.3,1.018,4.08,0,-28.864360,29.395070
2023-07-17T00:00:00,81.8,26.43,166.7877,645.4478,14.41029,0,12.39,21.9,1.295,0.549,4.646,-2.044,108.1,1.186,5.51,0,-28.864360,29.395070
2023-07-18T00:00:00,61.7,23.32,169.1759,661.9459,14.6168,0,14.4,23.2,6.606,1.025,4.854,-0.603,93.6,0.857,4.48,0,-28.864360,29.395070
2023-07-19T00:00:00,67.71,18.1,165.3029,629.7922,14.28217,0,15.53,25.08,5.941,0.523,4.501,-3.839,114.8,1.107,7.74,0,-28.864360,29.395070
2023-07-20T00:00:00,96.8,17.26,164.8193,649.9515,14.24038,0,13.93,24.67,5.616,1.781,7.927,-4.022,88.1,1.741,9.64,0,-28.864360,29.395070
2023-07-21T00:00:00,99.3,93.3,16.7037,121.7213,1.4431,5.08,5.265,7.65,4.288,4.843,6.945,3.769,61.33,1.399,6.45,0.01,-28.864360,29.395070
2023-07-22T00:00:00,97.6,75.89,60.68032,888.0862,5.242355,0.762,6.21,8.86,3.989,4.561,6.344,3.092,140.7,0.699,3.19,0,-28.864360,29.395070
2023-07-23T00:00:00,97,25.25,170.4737,674.3004,14.72841,0,13.4,22.09,3.485,3.663,8.21,-3.786,276.4,2.14,10.28,0.01,-28.864360,29.395070
2023-07-24T00:00:00,69.74,25.62,163.7701,698.1744,14.14974,0,15.1,23.61,6.08,2.794,6.631,-3.062,149.2,1.239,7.79,0,-28.864360,29.395070
2023-07-25T00:00:00,88.9,55.85,103.6314,889.8555,8.953649,0,10.73,15.97,5.827,6.5,10.19,2.808,90.6,1.638,8.14,0.01,-28.864360,29.395070
2023-07-26T00:00:00,92.2,31.71,146.6926,674.8671,12.67395,0,11.17,18.59,6.817,4.365,6.133,0.486,305,1.014,7.91,0,-28.864360,29.395070
2023-07-27T00:00:00,80.8,21.74,169.1606,665.1705,14.61548,0,14.85,26.16,5.333,4.095,8.1,1.479,54.91,0.966,7.11,0,-28.864360,29.395070
2023-07-28T00:00:00,84.3,23.7,167.0893,642.8053,14.43618,0,16.4,24.95,8,4.546,8.24,1.523,178.3,1.727,10.07,0.01,-28.864360,29.395070
2023-07-29T00:00:00,97.9,28.15,164.6264,656.4849,14.22355,0,15.55,25.52,5.698,7.186,11.26,2.045,127.1,1.111,5.47,0,-28.864360,29.395070
2023-07-30T00:00:00,47.55,24.14,144.2435,684.1042,12.46191,0,19.47,25.68,13.05,3.093,5.416,-1.741,323.4,2.362,10.49,0.01,-28.864360,29.395070
2023-07-31T00:00:00,53.29,13.06,192.9513,729.5621,16.67061,0,12.98,18.69,4.585,-6.146,-1.173,-12.14,224.3,2.785,13.92,0,-28.864360,29.395070
2023-08-01T00:00:00,77.93,20.95,188.1402,720.1105,16.25531,0,9.35,17.46,1.931,-3.231,1.318,-6.443,113.9,1.093,6.47,0,-28.864360,29.395070
2023-08-02T00:00:00,81.2,29.83,181.7828,777.6087,15.70585,0,8.37,15.24,1.858,-0.482,2.787,-3.128,98,1.027,6.01,0,-28.864360,29.395070
2023-08-03T00:00:00,87.6,27.99,186.9342,706.4463,16.15093,0,9.13,17.78,1.562,0.574,3.29,-1.324,76.35,0.85,5.35,0,-28.864360,29.395070
2023-08-04T00:00:00,84.7,20.62,191.834,721.2287,16.57426,0,11.99,21.84,2.563,0.473,4.225,-2.116,101.7,1.079,6.15,0,-28.864360,29.395070
2023-08-05T00:00:00,68.5,13.77,182.2335,841.671,15.74497,0,13.01,22.86,3.34,-1.826,1.983,-6.586,102.3,0.954,7.91,0,-28.864360,29.395070
2023-08-06T00:00:00,56.91,17.43,179.2124,834.364,15.48395,0,13.71,22.39,7.012,-2.079,2.119,-4.334,80.7,0.895,4.52,0,-28.864360,29.395070
2023-08-07T00:00:00,56.97,13.75,199.6814,749.2158,17.25228,0,14.21,24.32,5.108,-2.871,1.255,-5.257,99.5,0.921,4.71,0,-28.864360,29.395070
2023-08-08T00:00:00,44.88,13.92,188.4321,723.2048,16.28054,0,15.95,24.46,8.17,-2.739,1.041,-5.135,74.55,0.891,4.83,0,-28.864360,29.395070
2023-08-09T00:00:00,57.24,16.03,191.2769,724.8669,16.52613,0,15.58,24.59,7.509,-0.82,3.513,-3.335,85,0.914,5.77,0,-28.864360,29.395070
2023-08-10T00:00:00,86.4,35.02,149.2227,792.6592,12.89269,0,12.62,19.11,7.69,5.237,8.13,-1.537,98.1,1.064,5.05,0,-28.864360,29.395070
2023-08-11T00:00:00,96.3,24.16,195.3317,751.6437,16.87588,0,14.05,22.14,7.819,5.436,9.5,-0.191,85.5,0.993,5.57,0,-28.864360,29.395070
2023-08-12T00:00:00,95.9,23.56,197.6774,742.9122,17.07933,0,13.45,21.9,5.928,3.701,9.53,-0.375,101.6,0.927,6.4,0,-28.864360,29.395070
2023-08-13T00:00:00,68.96,18.76,198.8089,746.7189,17.17709,0,15.05,24.02,5.811,0.818,4.627,-1.567,85,1.135,7.29,0,-28.864360,29.395070
2023-08-14T00:00:00,64.23,17.57,185.6037,730.7033,16.03597,0,17.11,27.37,7.453,1.391,5.204,-0.536,90.4,1.131,6.53,0,-28.864360,29.395070
