"Plot Title: Manz office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20112198, SEN S/N: 20112198, LBL: Rainfall)","Coupler Detached (LGR S/N: 20112198)","Coupler Attached (LGR S/N: 20112198)","Host Connected (LGR S/N: 20112198)","Stopped (LGR S/N: 20112198)","End Of File (LGR S/N: 20112198)"
341,18/12/08 06:42:38 PM,84.074,,,,,
342,18/12/08 06:44:07 PM,84.328,,,,,
343,18/12/08 06:45:13 PM,84.582,,,,,
344,18/12/08 06:46:43 PM,84.836,,,,,
345,18/12/08 06:47:52 PM,85.090,,,,,
346,18/12/08 06:49:36 PM,85.344,,,,,
347,18/12/08 06:51:32 PM,85.598,,,,,
348,18/12/08 06:54:36 PM,85.852,,,,,
349,18/12/08 06:57:24 PM,86.106,,,,,
350,18/12/08 06:59:48 PM,86.360,,,,,
351,18/12/08 07:02:11 PM,86.614,,,,,
352,18/12/08 07:05:53 PM,86.868,,,,,
353,18/12/08 07:10:03 PM,87.122,,,,,
354,18/12/08 07:18:47 PM,87.376,,,,,
355,18/12/08 07:25:39 PM,87.630,,,,,
356,18/12/08 07:30:54 PM,87.884,,,,,
357,18/12/08 07:35:42 PM,88.138,,,,,
358,18/12/08 07:39:46 PM,88.392,,,,,
359,18/12/08 07:43:52 PM,88.646,,,,,
360,18/12/08 07:47:18 PM,88.900,,,,,
361,18/12/08 07:49:07 PM,89.154,,,,,
362,18/12/08 07:51:25 PM,89.408,,,,,
363,18/12/08 07:53:26 PM,89.662,,,,,
364,18/12/08 07:57:06 PM,89.916,,,,,
365,18/12/08 08:00:41 PM,90.170,,,,,
366,18/12/08 08:05:34 PM,90.424,,,,,
367,18/12/08 08:08:59 PM,90.678,,,,,
368,18/12/08 08:12:21 PM,90.932,,,,,
369,18/12/08 08:15:02 PM,91.186,,,,,
370,18/12/08 08:18:48 PM,91.440,,,,,
371,18/12/08 08:22:06 PM,91.694,,,,,
372,18/12/08 08:26:04 PM,91.948,,,,,
373,18/12/08 08:29:15 PM,92.202,,,,,
374,18/12/08 08:35:48 PM,92.456,,,,,
375,18/12/09 11:22:15 PM,92.710,,,,,
376,18/12/09 11:30:58 PM,92.964,,,,,
377,18/12/09 11:34:45 PM,93.218,,,,,
378,18/12/09 11:45:22 PM,93.472,,,,,
379,18/12/09 11:49:10 PM,93.726,,,,,
380,18/12/09 11:52:24 PM,93.980,,,,,
381,18/12/09 11:53:54 PM,94.234,,,,,
382,18/12/09 11:55:07 PM,94.488,,,,,
383,18/12/09 11:55:54 PM,94.742,,,,,
384,18/12/09 11:56:44 PM,94.996,,,,,
385,18/12/09 11:57:26 PM,95.250,,,,,
386,18/12/09 11:58:38 PM,95.504,,,,,
387,18/12/10 12:00:04 AM,95.758,,,,,
388,18/12/10 12:01:29 AM,96.012,,,,,
389,18/12/10 12:02:17 AM,96.266,,,,,
390,18/12/10 12:03:31 AM,96.520,,,,,
391,18/12/10 12:04:33 AM,96.774,,,,,
392,18/12/10 12:05:52 AM,97.028,,,,,
393,18/12/10 12:06:48 AM,97.282,,,,,
394,18/12/10 12:08:06 AM,97.536,,,,,
395,18/12/10 12:09:58 AM,97.790,,,,,
396,18/12/10 12:11:38 AM,98.044,,,,,
397,18/12/10 12:13:29 AM,98.298,,,,,
398,18/12/10 12:16:32 AM,98.552,,,,,
399,18/12/10 12:19:29 AM,98.806,,,,,
400,18/12/10 12:23:29 AM,99.060,,,,,
401,18/12/10 12:27:18 AM,99.314,,,,,
402,18/12/10 12:32:48 AM,99.568,,,,,
403,18/12/10 12:36:35 AM,99.822,,,,,
404,18/12/10 12:40:53 AM,100.076,,,,,
405,18/12/10 12:46:39 AM,100.330,,,,,
406,18/12/10 12:52:06 AM,100.584,,,,,
407,18/12/10 12:57:00 AM,100.838,,,,,
408,18/12/10 01:23:33 AM,101.092,,,,,
409,18/12/10 02:54:46 AM,101.346,,,,,
410,18/12/10 08:22:20 AM,101.600,,,,,
411,18/12/10 09:57:52 AM,101.854,,,,,
412,18/12/10 10:00:24 AM,102.108,,,,,
413,18/12/10 10:04:12 AM,102.362,,,,,
414,18/12/10 10:11:47 AM,102.616,,,,,
415,18/12/10 11:16:22 AM,102.870,,,,,
416,18/12/11 08:49:19 AM,103.124,,,,,
417,18/12/11 08:52:32 AM,103.378,,,,,
418,18/12/11 08:54:26 AM,103.632,,,,,
419,18/12/16 12:20:03 AM,103.886,,,,,
420,18/12/19 11:43:32 PM,104.140,,,,,
421,18/12/19 11:52:30 PM,104.394,,,,,
422,18/12/19 11:56:56 PM,104.648,,,,,
